,question,relevant_documents_from_dense_retrieval
0,מהי הגישה העיקרית שמתוארת בתחום הנדסת מערכות?,"[Document(id='a83489a3-0caf-475d-b7d6-eb63af0a1c04', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�וע המוטיבציה של הסטודנטים להבין את המושגים התיאורטיים המופשטים\nמתחזקת מאד כאשר הם נחשפים ליישומים בתחום. המגמה נערכה בצורה כזו שתביא לאיזון בין שלושת\nההיבטים הבאים: שיטות חישוביות, טכנולוגיות מידע, והיבטי ניהול .\nבמסגרת פרויקט הגמר, הסטודנטים יתמודדו עם ב')]"
1,מהן המטרות העיקריות של התוכנית להנדסת מערכות באוניברסיטת בן גוריון?,"[Document(id='9323c0c2-eab7-44ff-9a9c-c486b40895af', metadata={'source': '362-2025.pdf', 'start_index': 47569}, page_content='א השלמות לתואר\nהשני והשלישי במחלקה להנדסת מכונות או בבית הספר להנדסת חשמל ומחשבים לפי בחירתם.\nבמסגרת המחקר העכשווי והפיתוח התעשייתי תחומי החפיפה בין הנדסת המכונות והנדסת חשמל הולכים\nומתרחבים. כתוצאה מכך שיתוף הפעולה בין חוקרים משני התחומים הולך וגובר')]"
2,כיצד התוכנית בהנדסת מערכות מתייחסת לצרכים הטכניים של הלקוח?,"[Document(id='6f092779-f0da-4cb8-aee9-127b0b650908', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�רנית תוך שימוש באלמנטים סופיים ובמחשב. ממהנדס.ת המבנים נדרשת\nיכולת המאפשרת לו.ה לבצע סינתזה של כל הידע שרכש.ה כדי לתכנן בפועל מבנים שונים .\nתחום ניהול הבנייה מבוסס על אינטראקציה של מערכות שירות שונות, הדורשת ידע בסיסי בהנדסת מבנים\nוידע בניהול הבנייה. ה�'), Document(id='a83489a3-0caf-475d-b7d6-eb63af0a1c04', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�וע המוטיבציה של הסטודנטים להבין את המושגים התיאורטיים המופשטים\nמתחזקת מאד כאשר הם נחשפים ליישומים בתחום. המגמה נערכה בצורה כזו שתביא לאיזון בין שלושת\nההיבטים הבאים: שיטות חישוביות, טכנולוגיות מידע, והיבטי ניהול .\nבמסגרת פרויקט הגמר, הסטודנטים יתמודדו עם ב')]"
3,איזו תרומה מספקת התוכנית לתעשיות בדרום הארץ?,"[Document(id='7ffb50b6-7abf-4145-898d-969735eb0309', metadata={'source': '364-2025.pdf', 'start_index': -1}, page_content='� חברות עסקיות, יזמים, וארגוני ציבור וקהילה, ואחרים\nמשתל בים בצוותי המחקר הפועלים במעבדות המחלקה .\nלעידוד המצויינות, המחלקה מציעה מספר מסגרות ומסלולי לימוד ייחודיים לתלמידי תואר ראשון מצטיינים כגון תוכנית\nח""ץ )חוקרים צעירים( המציעה מגוון פעילויות העשרה, מ�'), Document(id='4a1a47a2-47a6-4c9a-8823-0653e2dc0dd1', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='\nהעומדים בבסיס תכנית הלימודים לתואר בוגר במדעים בהנדסת מערכות תקשורת.\nתעשיית המחשוב, התקשורת והרשתות במדינת ישראל משמשת ""חלון ראווה"" טכנולוגי של ישראל. המהנדסים\nהישראליים בתחומים אלו נחשבים פורצי דרך, ""חושבים מחוץ לקופסא"", יוזמים, ובעלי יכולת מוכחת בפיתוח, מ�'), Document(id='55bde22e-bd08-44c3-b23e-dc576bfc7152', metadata={'source': '372-2025.pdf', 'start_index': 23223}, page_content='ינים לפי הפירוט\nהבא:\n1. תכנית מצטייני הנדסת מערכות מידע )ממד״ע( היא תכנית רב-שנתית, שתכליתה לטפח מצוינות\nבמסגרת לימודי התואר הראשון בהנדסת מערכות מידע. הקבלה לתוכנית היא דרך המחלקה לאחר\nהקבלה לאוניברסיטה.\n2. תנאי קבלה לתוכנית – יכולים להתקבל לתוכנית מ')]"
4,איזה כישורים מפתחת התוכנית כדי להכשיר מהנדסי מערכות כמנהיגים טכנולוגיים?,"[Document(id='351a9428-e290-4503-a05b-597aaa44ef73', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�מודרנית הדורשת מהנדסים המתמחים בתחום\nהמחשבים. בוגרי המסלול משתלבים בתעשייה עתירת הידע המתקדמת במגוון תפקידי מפתח של מחקר\nופיתוח בתחומי החומרה והתוכנה. צוות ההוראה של המסלול כולל חוקרים מנוסים ובכירים בתחומם.\nתוכנית הלימודים והמחקר כוללת נושאים בטכנולוגי�')]"
5,כיצד התוכנית משלבת בין תאוריה למעשה בלימודי הנדסת מערכות?,"[Document(id='3728237d-ba5f-4a3e-8c8f-f43bc34a9df7', metadata={'source': '374-2025.pdf', 'start_index': 10946}, page_content='ר לתואר שני בהנדסה סביבתית\nתוכנית לימודים לתואר כפול: הנדסת בניין )התמחות במבנים( ומדעי כדור הארץ והסביבה\nתוכנית זו הינה ייחודית הנלמדת באוניברסיטת בן-גוריון בלבד. התוכנית נוסדה לשם מתן מענה אקדמי לצורכי\nהמדינה בתחום התשתיות הלאומיות, לקראת אתגרי העתיד.'), Document(id='f3bf404b-a470-484c-a0fd-690793a02a06', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='בוא לרפואה קלינית.\n• התמחות רב-תחומית ייחודית בישום מתודולוגיות חישוביות לתחומי הרפואה השונים.\nהמסלול לתואר שני ברפואה חישובית הינו מחקרי ומחייב הגשת תזה. המסלול משותף לפקולטה להנדסה\nוהפקולטה למדעי הבריאות.\nבדרך כלל יהיה לתלמיד מנחה מהמחלקה להנדסת מערכות תו�'), Document(id='1fa7eb67-209f-438a-a97b-4b277fc832f4', metadata={'source': '363-2025.pdf', 'start_index': 2132}, page_content=' למחקר\nמסלול זה יחשוף את הסטודנטים כבר במהלך התואר הראשון לאספקטים שונים של עבודת מחקר\nאקדמית: מיומנויות, נושאים ואתגרים.\nבנוסף, קיימת תכנית מצוינות לתואר כפול – הנדסה כימית וכימיה: ננוטכנולוגיה. התכנית מעניקה תואר\nבוגר )B.Sc( בכימיה ותואר בוגר )B.Sc( בהנד')]"
6,מה תפקידו של מהנדס מערכת בפרויקט טכנולוגי מורכב על פי התוכנית?,"[Document(id='eefa0a74-96bc-450b-8266-a999649e0dd6', metadata={'source': '383-2025.pdf', 'start_index': 2277}, page_content='גי וחלק מהנהלת\nהפרויקט. הוא מוביל את הפתרונות הנדסיים טכנולוגיים ומשתתף בתכנון ובבקרה של הפרויקט. לפיכך, התוכנית\nתצייד את המשתתפים בתוכנית בכלים שיאפשרו להם בין השאר:\n• להעביר את דרישות השוק לתוכנית עבודה לפי מפרטים\n• להבין את שיקולי התוכן של כל אחד ממכלו'), Document(id='c79925c7-09aa-46ec-b03e-0e2580049060', metadata={'source': '383-2025.pdf', 'start_index': -1}, page_content=' ותיקוף המערכת ומתוך ראייה הבעיה הכוללת: תפעול, מחיר, לו""ז, ביצועים, אימון,\nתמיכה, בדיקות, ייצור וגריטה. הנדסת המערכת מתייחסת הן לצד העסקי והן לצרכים הטכניים של הלקוחות\nבמטרה להבטיח איכות המערכת / המוצר שעונה על צרכי הלקוח .\nהתוכנית להנדסת מערכות באו�'), Document(id='98165f62-2819-466c-b613-85b315146ba4', metadata={'source': '374-2025.pdf', 'start_index': 7375}, page_content='ת\nניהול הבנייה מכשירים את בוגרי.ות מסלול זה לראייה ניהולית-הנדסית רחבה של פרויקט בנייה. הכוללים\nהנדסת ביצוע, ניהול איכות וניהול פרויקט בניה בהיבט תקציבי, חוזי ועוד.\nלאור הצורך לתת מענה למוכנות מבנים ותשתיות אזרחיות לאירועים חריגים דוגמת אסונות טבע כרעידות אדמ')]"
7,כיצד מוגדרות תחומי האחריות של מהנדס מערכת במסגרת התוכנית?,"[Document(id='eefa0a74-96bc-450b-8266-a999649e0dd6', metadata={'source': '383-2025.pdf', 'start_index': 2277}, page_content='גי וחלק מהנהלת\nהפרויקט. הוא מוביל את הפתרונות הנדסיים טכנולוגיים ומשתתף בתכנון ובבקרה של הפרויקט. לפיכך, התוכנית\nתצייד את המשתתפים בתוכנית בכלים שיאפשרו להם בין השאר:\n• להעביר את דרישות השוק לתוכנית עבודה לפי מפרטים\n• להבין את שיקולי התוכן של כל אחד ממכלו'), Document(id='aad5d21a-3594-4731-8663-9128654d11e4', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�נוהל בהתאםל""נוהל פרויקטים"" שפורסם באתר בית הספר להנדסת חשמל ומחשבים ועל התלמיד\nיהיה למסור דוחות ולהציג את תוצאות הפרויקט במסגרת שתיקבע, הכל כמפורט בנוהל הפרויקטים .\nמנחה הפרויקט יהיה אחד מחברי הסגל בביה""ס. הוא הסמכות הקובעת את הציון הסופי, בהתאם למפור'), Document(id='698ebc16-d6f4-4edf-b565-52ae16520e09', metadata={'source': '362-2025.pdf', 'start_index': 4032}, page_content=' הנדסי בהנחיה צמודה של חבר סגל בכיר מהמחלקה או מהנדס\nבכיר מהתעשייה. במסגרת הפרויקט על התלמיד לתכנן ולפתח מערכת או מתקן או לפתור ולחקור בעיה הנדסית\nמורכבת. הפרויקט מסוכם בדו""ח הנדסי מקיף ומוצג בכנס פרויקטים שנתי. בדרך זו ניתן לתלמיד לפתח את י')]"
8,מדוע יש דגש על ראייה כוללת של בעיות בלימודי הנדסת מערכות?,"[Document(id='d664de0f-7f11-43b3-8690-c90261f9dc20', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�זיות של פיתוח מערכות וניתוח נתונים. לאור זאת פיתחה המחלקה שתי תוכניות לימוד\nשמטרתן להקנות מיומנויות אלו.\nתכנית הלימודים להנדסת מערכות מידע מספקת לתלמידים עקרונות וטכניקות המהוות בסיס ידע עיקרי\nלאנשי מקצוע במגוון תפקידים במערכות מידע ממוחשבות בסביבה')]"
9,כיצד התוכנית מבטיחה שהמערכת תענה לצרכי הלקוח לאורך מחזור חייה?,"[Document(id='c79925c7-09aa-46ec-b03e-0e2580049060', metadata={'source': '383-2025.pdf', 'start_index': -1}, page_content=' ותיקוף המערכת ומתוך ראייה הבעיה הכוללת: תפעול, מחיר, לו""ז, ביצועים, אימון,\nתמיכה, בדיקות, ייצור וגריטה. הנדסת המערכת מתייחסת הן לצד העסקי והן לצרכים הטכניים של הלקוחות\nבמטרה להבטיח איכות המערכת / המוצר שעונה על צרכי הלקוח .\nהתוכנית להנדסת מערכות באו�'), Document(id='1a1c5e41-f19e-412c-bf63-ce2f6820dee3', metadata={'source': '364-2025.pdf', 'start_index': 14558}, page_content=' יילמד את כל לימודי התואר הראשון,\nלמעט מקרים חריגים. שיטת התבניות מאפשרת למחלקה להציע חלק ניכר ממקצועות החובה פעמיים בשנה, ובכך להציע\nשירות מיטבי לכלל תלמידי התואר הראשון .\nשיטתה תבניות מעניקה לתלמיד מידה מסוימתש ל גמישות בקביעת היקף הקורסים בכל סמסטר והתאמת קצב\nההת')]"
